time,rpm
16197,124.50
16211,124.50
16226,123.00
16240,123.00
16254,124.50
16270,124.50
16284,123.00
16299,123.00
16313,124.50
16327,124.50
16343,123.00
16357,123.00
16371,123.00
16386,120.00
16401,117.00
16415,112.50
16430,109.50
16444,105.00
16458,102.00
16474,99.00
16487,90.00
16500,84.00
16514,84.00
16527,81.00
16541,78.00
16555,75.00
16568,72.00
16581,69.00
16594,69.00
16609,63.00
16622,63.00
16635,60.00
16649,58.50
16663,55.50
16676,52.50
16690,51.00
16703,49.50
16716,45.00
16731,45.00
16744,42.00
16757,42.00
16771,37.50
16784,37.50
16798,33.00
16812,33.00
16825,30.00
16838,30.00
16851,27.00
16866,24.00
16879,24.00
16892,21.00
16906,21.00
16919,18.00
16933,18.00
16947,15.00
16960,15.00
16973,12.00
16987,10.50
17001,10.50
17014,6.00
17027,7.50
17039,4.50
17051,4.50
17064,3.00
17077,1.50
17089,0.00
17101,-1.50
17115,-1.50
17129,0.00
17141,0.00
17154,0.00
17166,0.00
17178,0.00
17190,0.00
17204,0.00
17216,0.00
17228,0.00
17241,0.00
17253,0.00
17266,0.00
17278,0.00
17291,0.00
17303,0.00
17315,0.00
17329,0.00
17341,0.00
17353,0.00
17366,0.00
17378,0.00
17390,0.00
17403,0.00
17416,0.00
17428,0.00
17440,0.00
17453,0.00
17466,0.00
17478,0.00
17490,0.00
17503,0.00
17515,0.00
17528,0.00
17541,0.00
17553,0.00
17565,0.00
17577,0.00
17590,0.00
17603,0.00
17615,0.00
17628,0.00
17640,0.00
17652,0.00
17666,0.00
17678,0.00
17690,0.00
17702,0.00
17715,0.00
17728,0.00
17740,0.00
17753,0.00
17765,0.00
17777,0.00
17789,0.00
17803,0.00
17815,0.00
17827,0.00
17840,0.00
17852,0.00
17865,0.00
17878,0.00
17890,0.00
17902,0.00
17914,0.00
17928,0.00
17940,0.00
17952,0.00
17965,0.00
17977,0.00
17989,0.00
